method,run_name,step,elapsed_hours,fid,isc_mean,isc_std,gen_time_eval_seconds,time_source,json_path
Sinkhorn / OT,imagenet256_ot_1node_4gpu_official30k,10000,,12.147472668823298,108.80706711859577,2.5086263897016816,741.9359977245331,missing_checkpoint_times,jsons/imagenet256_ot_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00010000/results_cfg1.5.json
Sinkhorn / OT,imagenet256_ot_1node_4gpu_official30k,20000,,8.132074728063742,132.18746619303573,2.9699121591335147,783.0392229557037,missing_checkpoint_times,jsons/imagenet256_ot_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00020000/results_cfg1.5.json
Sinkhorn / OT,imagenet256_ot_1node_4gpu_official30k,28000,,7.283808118057777,141.6116428718497,2.2247307496050275,632.467342376709,missing_checkpoint_times,jsons/imagenet256_ot_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00028000/results_cfg1.5.json
Sinkhorn / OT,imagenet256_ot_1node_4gpu_official30k,30000,,7.131215513899008,142.39972400802668,3.0330012836343263,718.8290977478027,missing_checkpoint_times,jsons/imagenet256_ot_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00030000/results_cfg1.5.json
Direct Riesz,imagenet256_riesz_1node_4gpu_official30k,10000,,17.539842676975752,90.61716483513037,2.215963968878842,742.300496339798,missing_checkpoint_times,jsons/imagenet256_riesz_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00010000/results_cfg1.5.json
Direct Riesz,imagenet256_riesz_1node_4gpu_official30k,20000,,13.917805089688102,109.41678057829131,1.9134079500399483,794.113030910492,missing_checkpoint_times,jsons/imagenet256_riesz_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00020000/results_cfg1.5.json
Direct Riesz,imagenet256_riesz_1node_4gpu_official30k,28000,,12.870698152498903,117.12170732452932,2.780500759293509,638.8806338310242,missing_checkpoint_times,jsons/imagenet256_riesz_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00028000/results_cfg1.5.json
Direct Riesz,imagenet256_riesz_1node_4gpu_official30k,30000,,12.793846671071265,117.94423052953161,2.18031838292072,708.5663304328918,missing_checkpoint_times,jsons/imagenet256_riesz_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00030000/results_cfg1.5.json
Powered Riesz,imagenet256_riesz_power_1node_4gpu_official30k,5000,,27.383238685080983,64.95917863312019,0.9369908358952675,669.2733519077301,missing_checkpoint_times,jsons/imagenet256_riesz_power_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00005000/results_cfg1.5.json
Powered Riesz,imagenet256_riesz_power_1node_4gpu_official30k,10000,,14.697751697339925,103.48581830682652,1.5360676637890942,592.8950979709625,missing_checkpoint_times,jsons/imagenet256_riesz_power_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00010000/results_cfg1.5.json
Powered Riesz,imagenet256_riesz_power_1node_4gpu_official30k,15000,,12.612657904347543,114.44254340150171,3.1246040381087075,656.1658573150635,missing_checkpoint_times,jsons/imagenet256_riesz_power_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00015000/results_cfg1.5.json
Powered Riesz,imagenet256_riesz_power_1node_4gpu_official30k,20000,,11.578890885926171,120.90006934989044,2.209545687411394,718.167679309845,missing_checkpoint_times,jsons/imagenet256_riesz_power_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00020000/results_cfg1.5.json
Powered Riesz,imagenet256_riesz_power_1node_4gpu_official30k,25000,,11.068495426698746,125.41902695399105,2.287827172135579,3218.561027765274,missing_checkpoint_times,jsons/imagenet256_riesz_power_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00025000/results_cfg1.5.json
Powered Riesz,imagenet256_riesz_power_1node_4gpu_official30k,30000,,10.65874554683245,128.0298025612111,2.029312433655929,666.0350689888,missing_checkpoint_times,jsons/imagenet256_riesz_power_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00030000/results_cfg1.5.json
Powered Riesz top-k,imagenet256_riesz_power_topk_lr4_1node_4gpu_official30k,10000,,12.909208401705257,144.55531905282868,3.2087845568773203,1688.2312467098236,missing_checkpoint_times,jsons/imagenet256_riesz_power_topk_lr4_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00010000/results_cfg1.5.json
Powered Riesz top-k,imagenet256_riesz_power_topk_lr4_1node_4gpu_official30k,20000,,10.725587798471508,163.76491163321052,2.1698031410639533,1451.1612689495087,missing_checkpoint_times,jsons/imagenet256_riesz_power_topk_lr4_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00020000/results_cfg1.5.json
Powered Riesz top-k,imagenet256_riesz_power_topk_lr4_1node_4gpu_official30k,26000,,10.264588834762435,168.14708123257824,2.5429362269263796,1327.3469154834747,missing_checkpoint_times,jsons/imagenet256_riesz_power_topk_lr4_1node_4gpu_official30k/fid_inference_ours_cfg1p5_json/state_00026000/results_cfg1.5.json
